
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server
  2026-04-03 11:42:49 /api/plots ......................................................................... ~ 514.60ms
  2026-04-03 11:42:50 /api/plots/1/plants/2 .............................................................. ~ 509.75ms
  2026-04-03 11:42:50 /api/plots/1/plants/2/conditions ......................................................... ~ 1s
  2026-04-03 11:42:50 /api/plots/1/rotations ................................................................... ~ 1s
  2026-04-03 11:42:51 /api/plots/1/plant-zones ................................................................. ~ 1s
  2026-04-03 11:42:51 /api/plots/1/plants/2 .............................................................. ~ 513.16ms
  2026-04-03 11:42:52 /api/plots/1/plants/2/conditions ................................................... ~ 507.38ms
  2026-04-03 11:42:52 /api/plots/1/rotations ............................................................. ~ 507.06ms
  2026-04-03 11:42:52 /api/plots/1/plant-zones ........................................................... ~ 510.18ms
  2026-04-03 11:45:58 /api/plots ............................................................................... ~ 1s
  2026-04-03 11:45:59 /api/plots ......................................................................... ~ 511.17ms
  2026-04-03 11:45:59 /api/plots/1 ....................................................................... ~ 512.00ms
  2026-04-03 11:45:59 /api/plots/1/plant-zones ........................................................... ~ 516.89ms
  2026-04-03 11:46:00 /api/plots/1/plants ................................................................ ~ 512.14ms
  2026-04-03 11:46:00 /api/plots/1/rotations ................................................................... ~ 1s
  2026-04-03 11:46:01 /api/plots/1/access ...................................................................... ~ 1s
  2026-04-03 11:46:01 /api/plots/1 ............................................................................. ~ 1s
  2026-04-03 11:46:02 /api/plots/1/plant-zones ................................................................. ~ 1s
  2026-04-03 11:46:02 /api/plots/1/plants ...................................................................... ~ 1s
  2026-04-03 11:46:03 /api/plots/1/rotations ............................................................. ~ 506.95ms
  2026-04-03 11:46:03 /api/plots/1/access ................................................................ ~ 511.76ms
  2026-04-03 14:10:52 /api/plots ............................................................................... ~ 1s
  2026-04-03 14:10:52 /api/me .................................................................................. ~ 1s
  2026-04-03 14:10:53 /api/plots ......................................................................... ~ 502.68ms
  2026-04-03 14:10:54 /api/plots/1 ............................................................................. ~ 1s
  2026-04-03 14:10:54 /api/plots/1/plants ...................................................................... ~ 1s
  2026-04-03 14:10:55 /api/plots/1/plant-zones ................................................................. ~ 1s
  2026-04-03 14:10:55 /api/plots/1/rotations ................................................................... ~ 1s
  2026-04-03 14:10:56 /api/plots/1/access ...................................................................... ~ 1s
  2026-04-03 14:10:57 /api/me .................................................................................. ~ 1s
  2026-04-03 14:10:57 .......................................................................................... ~ 1s
  2026-04-03 14:10:58 ...................................................................................... ~ 5.07ms
  2026-04-03 14:10:58 /api/plots ........................................................................... ~ 3.35ms
  2026-04-03 14:10:58 /api/me .................................................................................. ~ 1s
  2026-04-03 14:10:58 /api/inventory ........................................................................... ~ 1s
  2026-04-03 14:10:59 /api/plots ............................................................................... ~ 1s
  2026-04-03 14:11:00 /api/plots/1 ............................................................................. ~ 1s
  2026-04-03 14:11:00 /api/plots/1/plant-zones ................................................................. ~ 1s
  2026-04-03 14:11:01 /api/plots/1/plants ................................................................ ~ 514.50ms
  2026-04-03 14:11:01 /api/plots/1/rotations ............................................................. ~ 503.84ms
  2026-04-03 14:11:01 /api/plots/1/access ...................................................................... ~ 1s
  2026-04-03 14:11:02 /api/me .................................................................................. ~ 1s
  2026-04-03 14:11:02 /api/inventory ........................................................................... ~ 1s
  2026-04-03 14:11:03 /api/plots ............................................................................... ~ 1s
  2026-04-03 14:11:03 /api/plots/1 ............................................................................. ~ 1s
  2026-04-03 14:11:03 /api/plots/1/plant-zones ................................................................. ~ 1s
  2026-04-03 14:11:04 /api/plots/1/plants ................................................................ ~ 514.47ms
  2026-04-03 14:11:04 /api/plots/1/rotations ............................................................. ~ 515.99ms
  2026-04-03 14:11:05 /api/plots/1/access ...................................................................... ~ 1s
  2026-04-03 14:11:05 /api/plots ............................................................................... ~ 1s
  2026-04-03 14:11:09 /api/plots ......................................................................... ~ 502.49ms
  2026-04-03 14:11:10 /api/plots ......................................................................... ~ 509.83ms
  2026-04-03 14:11:10 /api/plots/1 ....................................................................... ~ 513.68ms
  2026-04-03 14:11:10 /api/plots/1/plant-zones ................................................................. ~ 1s
  2026-04-03 14:11:11 /api/plots/1/plants ...................................................................... ~ 1s
  2026-04-03 14:11:11 /api/plots/1/rotations ............................................................. ~ 518.21ms
  2026-04-03 14:11:12 /api/plots/1/access ................................................................ ~ 497.36ms
  2026-04-03 14:11:12 /api/plots/1 ............................................................................. ~ 1s
  2026-04-03 14:11:12 /api/plots/1/plant-zones ................................................................. ~ 1s
  2026-04-03 14:11:13 /api/plots/1/plants ................................................................ ~ 503.20ms
  2026-04-03 14:11:13 /api/plots/1/rotations ............................................................. ~ 515.90ms
  2026-04-03 14:11:14 /api/plots/1/access ...................................................................... ~ 1s
  2026-04-03 14:11:18 /api/plots ......................................................................... ~ 513.99ms
  2026-04-03 14:11:19 /api/plots ......................................................................... ~ 509.48ms
  2026-04-03 14:11:19 /api/plots/1/plants/2/conditions ................................................... ~ 510.45ms
  2026-04-03 14:11:19 /api/plots/1/rotations ................................................................... ~ 1s
  2026-04-03 14:11:20 /api/plots/1/plant-zones ........................................................... ~ 996.71ms
  2026-04-03 14:11:20 /api/plots/1/plants/2 .................................................................... ~ 1s
  2026-04-03 14:11:21 /api/plots/1/plants/2/conditions ......................................................... ~ 1s
  2026-04-03 14:11:21 /api/plots/1/rotations ............................................................. ~ 506.20ms
  2026-04-03 14:11:22 /api/plots/1/plant-zones ........................................................... ~ 498.26ms
  2026-04-03 14:11:22 /api/plots/1/plants/2 .............................................................. ~ 999.21ms
  2026-04-03 14:11:33 /api/plots ......................................................................... ~ 505.25ms
  2026-04-03 14:11:34 /api/plots ......................................................................... ~ 511.95ms
  2026-04-03 14:11:34 /api/plots/1 ....................................................................... ~ 506.25ms
  2026-04-03 14:11:34 /api/plots/1/plant-zones ................................................................. ~ 1s
  2026-04-03 14:11:35 /api/plots/1/plants ...................................................................... ~ 1s
  2026-04-03 14:11:35 /api/plots/1/rotations ................................................................... ~ 1s
  2026-04-03 14:11:36 /api/plots/1/access ................................................................ ~ 509.77ms
  2026-04-03 14:11:36 /api/plots/1 ....................................................................... ~ 510.76ms
  2026-04-03 14:11:36 /api/plots/1/plant-zones ................................................................. ~ 1s
  2026-04-03 14:11:37 /api/plots/1/plants ................................................................ ~ 501.93ms
  2026-04-03 14:11:37 /api/plots/1/rotations ............................................................. ~ 503.55ms
  2026-04-03 14:11:37 /api/plots/1/access ...................................................................... ~ 1s
  2026-04-03 14:11:52 /api/plants/search ....................................................................... ~ 3s
  2026-04-03 14:12:00 /api/plants/search ....................................................................... ~ 3s
